Brewery,Beer Name,Description,ABV,Festival Location
3 Floyds,Crushing Mass,Barrel-Aged Imperial Stout w/ Coffee,15.1%,Cyclops
3 Floyds,Strawberrian,Blond Ale w/ Strawberries,5.7%,Cyclops
3 Fonteinen,Framboos Oogst 2019/2020: Blend No. 3,Fruit Lambic w/ Raspberries,6.0%,Rodan
3 Fonteinen,Golden Doesjel 2019/2020: Blend No. 40,Still Lambic,6.7%,Rodan
3 Fonteinen,Intens Rood 2018/2019: Blend No. 118,Fruit Lambic w/ Cherries,6.6%,Rodan
3 Fonteinen,Zenne Y Frontera 2018/2019,Sherry Barrel-Aged Lambic,6.7%,Rodan
3 Sons,Creamsicle,"Fruited Sour Ale w/ Blood Orange, Pineapple, Cream of Coconut & Vanilla",8.0%,Gargoyle
3 Sons,Kentucky Strong Ale,Bourbon & Whiskey Barrel-Aged Strong Ale,9.0%,Gargoyle
3 Sons,XO Nectar,Cognac Barrel-Aged Imperial Stout,14.0%,Gargoyle
450 North,SLUSHY XL: Rainbow Popsicle,"Fruited Sour Ale w/ Raspberry, Watermelon, Strawberry & Lemonade",6.0%,Jabberwock
450 North,SLUSHY XXL: Daiquiri Queen,"Fruited Sour Ale w/ Raspberry, Cranberry, Cherry, Triple Sec, Vanilla Cream & Gummy Candy",6.0%,Jabberwock
Alesong,Raindrops On Roses 2022,Mixed Fermentation Ale w/ Pinot Noir Wine Grapes,9.4%,Drogon
Alesong,Señor Rhino 2020,"Bourbon & Tequila Barrel-Aged Imperial Stout w/ Cinnamon, Cocoa Nibs, Vanilla & Ancho Chiles",11.0%,Drogon
Allagash,Coolship Ruby,Wild Ale w/ Rhubarb & Cranberry (Spontaneous),6.0%,Mothra
Allagash,Haunted House,Dark Ale,6.7%,Mothra
ANXO,Brightwood Cuvée,Cider/Wine Hybrid w/ Jonathan Apples & Cabernet Franc Grape Skins,8.0%,Mothra
ANXO,Time & Place: Peters Orchards 2021,Dry Cider w/ Pennsylvania-Grown Apples,6.9%,Mothra
Artifact Cider Project,Long Way Back ,Dry Cider w/ 100% McIntosh Apples,5.4%,Drogon
Artifact Cider Project,Slow Down,Dry Cider w/ 100% McIntosh Apples,6.0%,Drogon
Aslin,Harrisonburg,"Rye Barrel-Aged Imperial Stout w/ Marshmallow, Peanut Butter, Cocoa Nibs & Graham Crackers",16.5%,Demogorgon
Aslin,Scuzzi,"Italian Pilsner w/ Perle, Spalt, Hallertau & Tettnang Hops",4.0%,Demogorgon
